,cuBLAS,cuSPARSE,tensorflow
10,0.0,0.0,0.06797908729887302
919,0.0,0.0,0.07434929684824632
1828,0.0,0.0,0.1140594578924354
2737,0.0,0.0,0.12465277666598591
3646,0.0,0.0,0.13850630797326483
4555,0.0,0.0,0.2526672961505066
5464,0.0,0.0,0.2461519797019505
6373,0.0,0.0,0.3482014236169257
7282,0.0,0.0,0.40335521800409246
8192,0.0,0.0,0.48393846028920917
