,cuBLAS,cuSPARSE,tensorflow
10,0.0,0.0,0.09002241805260737
919,0.0,0.0,0.14048657932180206
1828,0.0,0.0,0.16865461619821967
2737,0.0,0.0,0.2676250377523759
3646,0.0,0.0,0.4737292266682524
4555,0.0,0.0,0.5343123151038738
5464,0.0,0.0,0.7970060435663037
6373,1.0,0.0,0.9758179669856245
7282,1.0,0.0,1.258741531479526
8192,1.0,0.0,1.694607064948277
