,cuBLAS,cuSPARSE,tensorflow
10,0.0,0.0,0.12544462348326665
919,0.0,0.0,0.12917910895329623
1828,0.0,0.0,0.1499432801449556
2737,0.0,0.0,0.2744038688364758
3646,0.0,0.0,0.47756351865538166
4555,0.0,0.0,0.7191341212910856
5464,0.0,0.0,1.0652781013691452
6373,1.0,1.0,1.4689510453030685
7282,1.0,1.148698354997035,1.8789848398778846
8192,1.0,2.0,2.553429626436234
