,cuBLAS,cuSPARSE,tensorflow
10,0.0,0.0,0.10542151257696998
919,0.0,0.0,0.14032548339221548
1828,0.0,0.0,0.20468185149246673
2737,0.0,0.0,0.47539953257507306
3646,0.0,0.0,0.8598833693397185
4555,0.0,1.0,1.4152191123725064
5464,0.0,1.0,2.348627792733974
6373,1.0,2.0,3.294439293954856
7282,1.0,4.0,4.678903198207073
8192,1.0,6.892921952168276,6.166214143156302
