,cuBLAS,cuSPARSE,tensorflow
10,0.0,0.0,0.0995660641907077
919,0.0,0.0,0.1595750973384794
1828,0.0,0.0,0.26516316470454354
2737,0.0,0.0,0.6862676618860479
3646,0.0,0.0,1.2657818452418041
4555,0.0,1.0,2.223290029211387
5464,0.0,2.0,3.7816451519100127
6373,1.0,3.7763500451796084,5.621061815102333
7282,1.0,5.680634885994442,7.700278359366466
8192,1.0,9.277484841329752,10.475068770954922
